,Rotation_angle_float,normalized_score_dev_mean,normalized_score_dev_sd,total_score_mean,total_score_sd,score_per_res_mean,score_per_res_sd,%score_deviation_mean,%score_deviation_sd,uhb,uhb_sd,uhb2,uhb2_sd,Rotation_angle_float_rad
0,-3.0,0.3927620428929139,0.0050027167255835645,-11078.110142857142,0.8830095183656365,-16.196067460317458,0.0012909495882545074,-0.0006834053222910539,7.976206775124508e-05,128.0,2.8284271247461916,6.0,0.0,-0.05235987755982988
1,-2.5,0.4391093139690888,0.003015411999541407,-11069.929571428569,0.5322383103904931,-16.184107560568087,0.000778126184782722,5.554400833128806e-05,4.807697685046951e-05,135.14285714285714,1.069044967649698,6.0,0.0,-0.04363323129985824
2,-2.0,0.4734229997847119,0.004362207760017029,-11063.872999999998,0.7699558428897285,-16.175252923976608,0.0011256664369731584,0.0006026328568411749,6.954995255280993e-05,112.42857142857143,1.7182493859684496,6.0,0.0,-0.03490658503988659
3,-1.5,0.455982880387711,0.00438001482749283,-11066.951285714285,0.7730988971414829,-16.17975334168755,0.0011302615455286743,0.000324571942894241,6.983386399540508e-05,117.57142857142857,2.992052966172382,6.0,0.0,-0.02617993877991494
4,-1.0,0.3654355740233792,0.010919685068067512,-11082.93342857143,1.9273899326245665,-16.203119047619047,0.0028178215389240745,-0.001119091726485739,0.00017410073525997194,119.14285714285714,2.9113897843110035,6.0,0.0,-0.017453292519943295
5,-0.5,0.29516681747766543,0.007223617656177407,-11095.336285714287,1.2750118580209098,-16.22125187969925,0.0018640524240070106,-0.0022394392552059802,0.00011517155827644844,112.28571428571428,1.3801311186847092,6.0,0.0,-0.008726646259971648
6,0.0,0.14745917176428813,0.05621070232331188,-11121.407571428572,9.921526224278283,-16.259367794486216,0.014505155298652503,-0.004594453118876821,0.0008962094184003726,103.14285714285714,0.37796447300922814,6.0,0.0,0.0
7,0.5,0.02987919471777759,0.004489382660553215,-11142.161142857143,0.7924029758838375,-16.289709273182954,0.0011584838828706866,-0.006469118947428128,7.157759744842233e-05,104.14285714285714,0.3779644730092274,6.0,0.0,0.008726646259971648
8,1.0,0.011555252674528652,0.013644872978369098,-11145.395428571428,2.4084019499200706,-16.29443776106934,0.003521055482338788,-0.006761271309213717,0.00021755045161603735,103.0,0.0,6.0,0.0,0.017453292519943295
9,1.5,0.030622997842233463,0.0041500143321197705,-11142.02985714286,0.7325024297059912,-16.289517335004174,0.0010709099849485404,-0.006457259935922831,6.616679346131895e-05,103.42857142857143,0.975900072948532,6.0,0.0,0.02617993877991494
10,2.0,0.24202414810665296,0.046766732854596635,-11104.716285714285,8.2546089492332,-16.234965329991642,0.01206814173864532,-0.003086732721409237,0.0007456371246000506,108.85714285714286,1.3451854182690994,6.0,0.0,0.03490658503988659
11,2.5,0.2166280061705658,0.0027121233477138073,-11109.198857142856,0.4787060436112779,-16.24151879699248,0.0006998626368584888,-0.0034916424744175127,4.324141822858209e-05,109.14285714285714,0.6900655593423547,6.0,0.0,0.04363323129985824
12,3.0,0.2382776141968405,0.0037774596506618976,-11105.377571428571,0.6667442930998014,-16.235932121971594,0.000974772358333166,-0.003146466523648846,6.022687453856234e-05,107.85714285714286,3.8047589248453684,6.0,0.0,0.05235987755982988
13,3.5,0.3829274925498267,0.023379737042654555,-11079.846000000001,4.126663866450602,-16.19860526315789,0.006033134307676586,-0.0008402049401380653,0.00037276069629646577,105.85714285714286,1.3451854182690983,6.0,0.0,0.061086523819801536
14,4.0,0.3937437982682893,0.022495367623786025,-11077.936857142859,3.97056735780382,-16.195814118629904,0.00580492303772574,-0.0006677524594444768,0.00035866053085152063,108.0,1.632993161855448,6.0,0.0,0.06981317007977318
15,4.5,0.3793476870879318,0.002649807766985457,-11080.47785714286,0.4677069697182646,-16.199529030910607,0.000683782119471797,-0.0008972804655876156,4.224787415150212e-05,108.85714285714286,1.2149857925879115,6.0,0.0,0.07853981633974483
16,5.0,0.5102149501999899,0.0013078336899039476,-11057.378999999999,0.23084049327026904,-16.16575877192983,0.0003374861012721306,0.0011892345380270176,2.085177416662832e-05,104.14285714285714,0.6900655593423553,6.0,0.0,0.08726646259971647
17,5.5,0.765643741774867,0.012245359793590795,-11012.294285714288,2.1613794757275477,-16.09984544695071,0.003159911514221493,0.005261727484714382,0.00019523696244880403,104.85714285714286,1.5735915849388868,6.0,0.0,0.09599310885968812
18,6.0,0.8228534521691712,0.003704469309524722,-11002.196428571433,0.6538610599468833,-16.085082497911447,0.0009559372221447453,0.0061738648386372745,5.9063134743902464e-05,104.85714285714286,0.8997354108424365,6.0,0.0,0.10471975511965977
19,6.5,0.837608919810095,0.0069840112658327924,-10999.591999999999,1.2327198924876106,-16.08127485380117,0.001802222065039034,0.006409122334561026,0.00011135133374873079,103.71428571428572,0.7559289460184537,6.0,0.0,0.11344640137963145
20,7.0,0.8089971850410592,0.046919282006800116,-11004.642142857143,8.281534789892094,-16.088658103592312,0.012107507002767168,0.00595294397142129,0.0007480693302356851,101.85714285714286,0.8997354108424385,6.0,0.0,0.12217304763960307
21,7.5,0.7228479485116659,0.017605013683024237,-11019.848,3.1073905451364032,-16.11088888888889,0.0045429686332387215,0.004579402030572356,0.00028068994731721006,104.85714285714286,1.0690449676496994,6.0,0.0,0.1308996938995747
22,8.0,0.5828122394867966,0.007714823162854617,-11044.565142857144,1.3617125771822476,-16.147025062656642,0.001990807861378529,0.002346707612014741,0.0001230032163639454,101.71428571428572,0.95118973121134,6.0,0.0,0.13962634015954636
