,Rotation_angle_float,total_score_mean,total_score_sd,score_per_res_mean,score_per_res_sd,%score_deviation_mean,%score_deviation_sd,uhb,uhb_sd,uhb2,uhb2_sd,Rotation_angle_float_rad
0,0.0,-11435.068285714286,4.459347250972476,-3.0219525067955297,0.0011784744320752416,-0.00018460007872929453,0.0003900431842981088,221.57142857142858,4.613644360558616,17.0,1.8257418583505547,0.0
1,0.5,-11435.472285714286,9.683383012740519,-3.022059272123226,0.002559033565734803,-0.00021993651646058895,0.0008469709427189623,216.85714285714286,7.221001117771496,15.0,1.632993161855452,0.008726646259971648
2,1.0,-11435.227285714285,13.142610239398897,-3.0219945258230143,0.003473205665803105,-0.0001985072411037126,0.0011495371988907515,215.28571428571428,7.565586245499765,16.285714285714285,2.5634797778466227,0.017453292519943295
3,1.5,-11444.804857142855,8.400736543672018,-3.024525596496527,0.0022200677969536663,-0.0010362232222997584,0.0007347824350814628,217.71428571428572,3.6839419880650337,15.142857142857142,1.5735915849388864,0.02617993877991494
4,2.0,-11441.256714285713,14.449265156797177,-3.0235879266082755,0.0038185161619443534,-0.0007258798333558156,0.001263825639794173,220.57142857142858,5.9120538692049225,17.428571428571427,0.7867957924694436,0.03490658503988659
5,3.0,-11435.898428571429,4.982266112828859,-3.0221718891573546,0.0013166665203036341,-0.00025720971085677833,0.0004357810303390076,217.42857142857142,4.466808810815719,16.142857142857142,0.8997354108424372,0.05235987755982988
6,4.0,-11432.372857142856,12.275806618828295,-3.0212401842343697,0.0032441349415507116,5.115943580931805e-05,0.0010737209806639485,220.28571428571428,6.799859942535229,15.857142857142858,1.6761634196950517,0.06981317007977318
7,5.0,-11435.66057142857,7.436900179894267,-3.0221090305043794,0.001965354170162316,-0.00023640519571443164,0.00065047910921051,215.57142857142858,7.138093649734566,16.714285714285715,2.984084768360628,0.08726646259971647
8,6.0,-11434.958999999999,7.202997593595495,-3.0219236257928124,0.00190354059027369,-0.0001750412474476207,0.0006300204850126424,211.14285714285714,4.488079449258574,16.857142857142858,2.267786838055364,0.10471975511965977
9,7.0,-11435.255142857142,5.026040702467481,-3.022001887647236,0.0013282348579459215,-0.00020094380594016826,0.0004396098374206285,214.42857142857142,5.940177967511941,15.0,1.632993161855452,0.12217304763960307
10,8.0,-11438.663,9.092153558610097,-3.022902484143763,0.002402788995404185,-0.0004990169042715845,0.0007952582130386738,221.71428571428572,7.087883692477973,15.142857142857142,1.2149857925879115,0.13962634015954636
11,9.0,-11440.203,12.042485347025918,-3.023309460887949,0.003182474986000516,-0.0006337152065148553,0.0010533132019697826,222.57142857142858,6.241184258807055,14.857142857142858,1.864454471471609,0.15707963267948966
12,10.0,-11433.373999999998,15.192844214739647,-3.021504756871036,0.004015022255480806,-3.640695585308598e-05,0.0013288638454359855,223.28571428571428,6.49908418456749,17.714285714285715,1.6035674514745466,0.17453292519943295
13,11.0,-11436.213,6.404639125925299,-3.022255021141649,0.0016925579085425384,-0.0002847241507027788,0.0005601909199628184,218.85714285714286,4.059087394500207,16.0,1.6329931618554518,0.19198621771937624
14,11.5,-11436.363571428572,5.573044974313705,-3.0222948127453937,0.0014727920122392785,-0.0002978940960241904,0.00048745434828911105,221.14285714285714,11.668027131561578,16.0,3.6514837167011076,0.20071286397934787
15,12.0,-11442.716285714285,16.769544306214225,-3.0239736484445787,0.004431697755342044,-0.0008535433355839487,0.0014667721736622904,223.0,5.259911279353164,15.142857142857142,2.544836041121407,0.20943951023931953
16,12.5,-11432.778142857143,8.092001697738114,-3.021347289338568,0.00213847824993085,1.5710541239315932e-05,0.0007077785002823158,222.57142857142858,7.184639700016114,13.857142857142858,1.2149857925879122,0.2181661564992912
17,13.0,-11426.636285714285,13.083338217167,-3.0197241769858043,0.00345754181214761,0.0005529168592675319,0.001144352886705474,225.57142857142858,5.623081683476383,13.285714285714286,1.2535663410560174,0.22689280275926285
18,13.5,-11431.894142857142,8.137400904231676,-3.021113674116581,0.0021504759260654147,9.303086538414758e-05,0.0007117494068004193,227.42857142857142,4.466808810815721,16.428571428571427,1.8126539343499317,0.23561944901923448
19,14.0,-11439.973571428573,7.60134336498344,-3.023248829658713,0.002008811671507219,-0.000613647908425557,0.0006648623675527095,226.42857142857142,4.961758520831861,15.0,1.1547005383792515,0.24434609527920614
20,14.5,-11428.705857142855,11.619969584420508,-3.020271103896104,0.0030708164863690736,0.0003718988347222829,0.0010163572565841323,223.57142857142858,6.10620293518929,16.571428571428573,1.7182493859684496,0.2530727415391778
21,15.0,-11432.97642857143,7.8749734360845185,-3.021399690425853,0.0020811240581618848,-1.6328023147632535e-06,0.0006887958130202439,225.71428571428572,8.712333895390024,17.571428571428573,1.6183471874253743,0.2617993877991494
22,15.5,-11436.566285714285,14.369017000874916,-3.0223483841739656,0.003797308932577726,-0.0003156247909112696,0.00125680662007923,229.71428571428572,3.6384193323605816,14.0,1.632993161855452,0.27052603405912107
23,16.0,-11440.024857142856,10.075321209579062,-3.023262382965872,0.002662611313313429,-0.0006181336867655315,0.0008812523775880043,224.28571428571428,2.690370836538196,16.857142857142858,1.4638501094227998,0.2792526803190927
24,16.5,-11436.331857142855,19.178582328808115,-3.022286431591664,0.005068335710572704,-0.0002951201606718005,0.0016774821293003858,222.85714285714286,3.891382420536066,16.428571428571427,3.6903993847614407,0.2879793265790644
25,17.0,-11440.435857142858,10.065590816052397,-3.023370998187859,0.002660039856250597,-0.0006540823895070734,0.0008804012948034621,223.0,5.999999999999999,15.571428571428571,2.225394561056747,0.29670597283903605
