,Rotation_angle_float,total_score_mean,total_score_sd,score_per_res_mean,score_per_res_sd,%score_deviation_mean,%score_deviation_sd,uhb,uhb_sd,uhb2,uhb2_sd,Rotation_angle_float_rad
0,0.0,-6052.459714285715,9.441489602004703,-1.5994872395046813,0.0024951082457729625,-0.0002546065796202896,0.0015603397483321074,95.28571428571429,2.1380899352993947,3.0,0.0,0.0
1,0.5,-6050.976428571428,7.799523401190318,-1.599095250679553,0.0020611848311813783,-9.472627702144516e-06,0.0012889816007783151,96.0,2.23606797749979,3.0,0.0,0.008726646259971648
2,1.0,-6052.022571428572,8.736971822036171,-1.5993717154938085,0.0023089249001152345,-0.000182362537159634,0.001443908216674385,95.71428571428571,2.429971585175823,3.0,0.0,0.017453292519943295
3,1.5,-6048.627142857143,10.242804961346902,-1.5984744035034735,0.00270687234707905,0.0003787800776135788,0.0016927684496109178,96.71428571428571,1.8898223650461352,3.0,0.0,0.02617993877991494
4,2.0,-6045.775666666667,12.889007093902523,-1.5977208421423537,0.0034061858070567443,0.0008500268648237216,0.0021300907942407997,96.83333333333333,1.8348478592697177,3.0,0.0,0.03490658503988659
5,2.5,-6053.599714285715,9.226929856210813,-1.599788508003624,0.002438406410203634,-0.00044300770995894134,0.0015248807144436708,97.0,3.316624790355401,2.857142857142857,0.3779644730092273,0.04363323129985824
6,3.0,-6059.211571428571,3.4173318957505496,-1.6012715569314406,0.000903100395282959,-0.0013704465073391577,0.0005647624490367225,94.85714285714286,1.5735915849388873,3.0,0.0,0.05235987755982988
7,3.5,-6057.259714285714,2.1465603271501026,-1.600755738447599,0.0005672728137288826,-0.0010478744968357677,0.0003547494666449921,99.42857142857143,2.0701966780270626,3.0,0.0,0.061086523819801536
8,4.0,-6051.986571428571,7.54926740059707,-1.5993622017517366,0.0019950495244706176,-0.00017641302778045377,0.0012476232557029798,98.85714285714286,1.2149857925879126,3.0,0.0,0.06981317007977318
9,4.5,-6039.5885714285705,17.973067581403786,-1.596085774690426,0.004749753589165881,0.0018725318967274082,0.0029703037263070133,101.85714285714286,1.9518001458970675,3.0,0.0,0.07853981633974483
10,5.0,-6039.338857142857,17.73836838070326,-1.5960197825430382,0.004687729487500855,0.0019138007157540177,0.0029315163625337087,101.85714285714286,1.4638501094227998,3.0,0.0,0.08726646259971647
11,5.5,-6047.989571428571,8.480287649546346,-1.598305912111145,0.002241090816476263,0.0004841477774509122,0.0014014875252383182,101.14285714285714,2.267786838055362,3.0,0.0,0.09599310885968812
12,6.0,-6045.860857142857,11.621543650028707,-1.5977433554817275,0.0030712324656524074,0.0008359479332374194,0.0019206245262681832,98.57142857142857,1.7182493859684482,3.0,0.0,0.10471975511965977
13,6.5,-6049.375571428572,1.973515632667006,-1.598672191180912,0.0005215421862227344,0.00025509166635491237,0.0003261513823995519,100.14285714285714,1.9518001458970673,3.0,0.0,0.11344640137963143
14,7.0,-6039.486999999999,14.665510901431198,-1.5960589323467231,0.0038756635574608016,0.001889318012475668,0.002423683184933267,100.28571428571429,1.976047040118705,3.0,0.0,0.12217304763960307
15,7.5,-6053.1981428571435,2.8935370758853276,-1.599682384475989,0.000764676817094454,-0.00037664234938478115,0.00047819794366115977,97.71428571428571,1.8898223650461372,3.0,0.0,0.1308996938995747
16,8.0,-6046.646571428571,10.493123571449512,-1.5979509966777408,0.002773024199643089,0.0007060975301218354,0.0017341371417934715,99.42857142857143,2.572750982712399,3.0,0.0,0.13962634015954636
17,8.5,-6048.801571428572,7.335957580237462,-1.5985204998489881,0.0019386780074623368,0.000349953288121926,0.0012123707896784213,97.71428571428571,2.05866345916355,3.0,0.0,0.14835298641951802
18,9.0,-6049.914142857144,4.97436101184773,-1.5988145197825432,0.0013145774344206723,0.00016608511731018566,0.0008220835415305235,98.71428571428571,1.704336206492694,3.0,0.0,0.15707963267948966
19,9.5,-6042.728428571428,16.964009990340653,-1.5969155466626397,0.004483089320914622,0.0013536260767131728,0.0028035426818043005,94.57142857142857,2.1491969707422416,3.0,0.0,0.1658062789394613
20,10.0,-6048.593857142858,12.307111825127356,-1.5984656070673509,0.003252407987612981,0.0003842810128728578,0.002033924367595227,96.42857142857143,1.1338934190276784,3.0,0.0,0.17453292519943295
21,10.5,-6060.518285714285,2.1117425438313715,-1.601616883116883,0.0005580714967842565,-0.0015863995323026022,0.0003489953353001514,95.85714285714286,2.193062655175135,3.0,0.0,0.1832595714594046
22,11.0,-6056.604285714287,8.599168423250687,-1.6005825279371793,0.002272507511429849,-0.0009395556514731117,0.0014211342551869615,95.42857142857143,2.299068134204439,2.857142857142857,0.37796447300922725,0.19198621771937624
23,11.5,-6057.763285714286,4.397530356699792,-1.6008888175777714,0.0011621380435253125,-0.0011310968006508128,0.0007267541139481737,96.14285714285714,0.6900655593423535,3.0,0.0,0.20071286397934787
24,12.0,-6050.186142857143,11.818883413540007,-1.5988864013893083,0.003123383565946103,0.0001211332686679708,0.0019532377144316176,94.71428571428571,2.429971585175823,3.0,0.0,0.20943951023931953
25,12.5,-6041.268714285715,26.14766812875321,-1.5965297870733919,0.006910060287725495,0.0015948645165378163,0.004321272132612144,93.42857142857143,2.225394561056748,3.0,0.0,0.2181661564992912
26,13.0,-6050.830142857142,10.978611181574491,-1.5990565916641495,0.002901324308027084,1.4703156441574564e-05,0.0018143708387346686,92.85714285714286,2.267786838055361,3.0,0.0,0.22689280275926285
27,13.5,-6049.460428571429,12.176133360761444,-1.5986946164300817,0.0032177942285310486,0.0002410678228184064,0.0020122783230894716,93.14285714285714,1.3451854182691005,3.0,0.0,0.23561944901923448
